t_s,est_n_m,est_e_m,est_vn_mps,est_ve_mps,est_bax_mps2,est_bay_mps2,height_used_m,flow_vn_mps,flow_ve_mps,flow_valid,flow_reason,safety_mode,warnings,innov_vn_mps,innov_ve_mps,true_n_m,true_e_m,true_vn_mps,true_ve_mps,true_alt_m,of_quality,texture_class
0.37,0.007559857188436618,0.04389717845403813,0.036962060318707156,0.12612667773964129,-0.0007860198347666708,-0.002153725858712912,1.0648040309827123,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0056160587075605,0.0395345345365424,0.0294190415639657,0.1078805515062406,1.0660879950061888,,textured_floor
0.38,0.007930164344038688,0.04515654498253888,0.03709937080170672,0.12574662796050876,-0.0007860198347666708,-0.002153725858712912,1.0696739896763896,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0059180397608174,0.0406152932613787,0.0301981053256973,0.1080758724836267,1.0665155663792272,,textured_floor
0.39,0.008307703549621119,0.046416655337376614,0.038408470314779425,0.12627544300703716,-0.0007860198347666708,-0.002153725858712912,1.0701858455522704,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0062277986953988,0.0416979949627982,0.0309758934581339,0.1082701701419521,1.066942562009659,,textured_floor
0.4,0.007432845741604988,0.047372881309751876,0.036168632176521824,0.1264500662218735,0.0010532122489666285,-0.001710918131493274,1.0889233034080454,0.0007251587863185147,0.11771682462920359,1,OK,OP_VALID,,-0.03906088667826541,-0.009624569139419684,0.0065453224298241,0.0427826293370007,0.0317523734425363,0.1084634374202509,1.0673689671927018,217.9585551418784,textured_floor
0.41,0.007800601383447083,0.04863313066572674,0.03738249619189745,0.12559980497310116,0.0010532122489666285,-0.001710918131493274,1.0557018639868792,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0068705975582384,0.0438691860097258,0.0325275128414257,0.1086556672725021,1.0677947672581256,,textured_floor
0.42,0.008175633985020688,0.04988739495001026,0.03762402412282356,0.12525305188360228,0.0010532122489666285,-0.001710918131493274,1.0827110673163212,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0072036103512443,0.0449576545364044,0.0333012793005911,0.1088468526678651,1.068219947571112,,textured_floor
0.43,0.008556645093559226,0.05114065786814004,0.038578197584884094,0.1253995317423531,0.0010532122489666285,-0.001710918131493274,1.0525335909065385,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0075443467567552,0.0460480244023136,0.0340736405510919,0.1090369865909149,1.0686444935331083,,textured_floor
0.44,0.009305212005511347,0.052098629963271546,0.040401895025609105,0.12452453202992463,0.0005068352009899142,-0.001254994346185734,1.0726178835300173,0.05301207373700357,0.11412656779002225,1,OK,OP_VALID,,0.01357130849737754,-0.011190482202833918,0.0078927924008678,0.0471402850227323,0.0348445644112539,0.1092260620418765,1.0690683905826814,205.6952887126081,textured_floor
0.45,0.009713934482565646,0.053347600308945045,0.041342600385250484,0.1252695371047761,0.0005068352009899142,-0.001254994346185734,1.0851276714366898,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0082489325887543,0.0482344257431009,0.0356140187886592,0.1094140720368596,1.0694916241963657,,textured_floor
0.46,0.010134569861704117,0.054614367347815274,0.04278447544244365,0.12808387066927038,0.0005068352009899142,-0.001254994346185734,1.078441782693643,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0086127523055757,0.0493304358391818,0.0363819716821311,0.1096010096080921,1.0699141798895138,,textured_floor
0.47,0.010567139701845724,0.05589718214408579,0.04372949258587799,0.12847908858483428,0.0005068352009899142,-0.001254994346185734,1.065594875061387,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0089842362174128,0.0504283045172234,0.0371483911837112,0.109786867804154,1.0703360432171418,,textured_floor
0.48,0.008340207724137358,0.05697654070341197,0.03825650745058652,0.1274373105235893,0.004783688779932561,-0.0009574016118636423,1.0750251191301612,-0.006903468877167157,0.12400552185095248,1,OK,OP_VALID,,-0.05194986411544216,-0.003947764585227026,0.0093633686722191,0.0515280209141255,0.0379132454806313,0.1099716396902106,1.070757199774771,235.66640433031944,textured_floor
0.49,0.00872671449862705,0.058245993132098856,0.03904484744735139,0.12645317521378932,0.004783688779932561,-0.0009574016118636423,1.095938372507082,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0097501337007919,0.0526295740976079,0.0386765028572783,0.1101553183482449,1.071177635199271,,textured_floor
0.5,0.009121944649311566,0.05950949267785263,0.04000118268955187,0.1262467339369658,0.004783688779932561,-0.0009574016118636423,1.062730383589847,,,0,NO_FLOW_SAMPLE,OP_VALID,,,,0.0101445150177634,0.0537329530663808,0.0394381316971523,0.1103378968772902,1.071597335169696,,textured_floor
